,id,region,price,year,manufacturer,model,fuel,odometer,transmission,size,type,state
31,7316356412,auburn,15000,2013,ford,f-150 xlt,gas,128000,automatic,full-size,truck,al
46,7315039307,auburn,0,2011,jeep,compass,gas,99615,automatic,full-size,SUV,al
55,7314560853,auburn,19900,2004,ford,f250 super duty,diesel,88000,automatic,full-size,pickup,al
59,7313406529,auburn,14000,2012,honda,odyssey,gas,95000,automatic,full-size,mini-van,al
65,7312847466,auburn,22500,2001,ford,f450,diesel,144700,manual,full-size,truck,al
73,7312144944,auburn,15000,2017,dodge,charger rt 4dr sedan,gas,90000,automatic,mid-size,sedan,al
86,7310644616,auburn,3000,2004,chrysler,town & country,gas,176144,automatic,mid-size,mini-van,al
110,7307730503,auburn,9500,2003,chrysler,town & country,gas,30376,automatic,mid-size,mini-van,al
119,7306407989,auburn,17500,2008,toyota,fj cruiser,gas,201300,manual,full-size,offroad,al
126,7305672709,auburn,0,2018,chevrolet,express cargo van,gas,68472,automatic,full-size,van,al
127,7305672266,auburn,0,2019,chevrolet,express cargo van,gas,69125,automatic,full-size,van,al
128,7305672252,auburn,0,2018,chevrolet,express cargo van,gas,66555,automatic,full-size,van,al
138,7304785580,auburn,4000,2006,jeep,grand cherokee laredo,gas,281000,automatic,mid-size,SUV,al
160,7302286548,auburn,28000,2018,acura,tlx,gas,55000,automatic,compact,sedan,al
177,7316870143,birmingham,22950,2014,ford,f150 supercrew cab xlt,gas,166380,automatic,full-size,truck,al
183,7316868220,birmingham,10950,2009,lexus,rx350,gas,191955,automatic,full-size,SUV,al
184,7316867506,birmingham,13950,2006,lexus,gx470,gas,178790,automatic,full-size,SUV,al
186,7316852517,birmingham,21250,2002,ford,thunderbird,gas,15996,automatic,compact,convertible,al
193,7316734951,birmingham,5900,1998,ford,f150,gas,214000,automatic,full-size,truck,al
213,7316544266,birmingham,32000,2008,chevrolet,silverado 2500,diesel,109600,automatic,full-size,truck,al
215,7316482063,birmingham,4000,2002,toyota,echo,gas,155000,automatic,compact,sedan,al
217,7316471857,birmingham,3000,2004,chevrolet,blazer,gas,131500,automatic,mid-size,SUV,al
219,7316429417,birmingham,2500,1995,bmw,525i,gas,110661,automatic,mid-size,sedan,al
222,7316419757,birmingham,12500,2008,gmc,yukon xl,gas,177326,automatic,full-size,SUV,al
224,7316397515,birmingham,2500,2008,honda,accord,gas,204561,automatic,full-size,sedan,al
